f,Job Salary,Job Experience Required,Role Category,Functional Area,Industry,Job Title,Key Skills
519, Not Disclosed by Recruiter ,5 - 10 yrs,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",Network Administrator," VMware, citrix xenapp, DNS, Windows, Network management, Troubleshooting, RAID, DHCP"
887, Not Disclosed by Recruiter ,2 - 5 yrs,Telecom,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Network Planning Engineer," computer, network, performance, maintenance, analyzing, designing, installing, configuring, "
298, Not Disclosed by Recruiter ,2 - 5 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse," GNM, Business Executive"
1716, Not Disclosed by Recruiter ,5 - 10 yrs,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Operations Executive, Domestic
651, Not Disclosed by Recruiter ,5 - 10 yrs,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking",Operations Manager," operations management, ops management, operations, operations manager, ops manager, loans operations, back office, Back Office Operations, backend operations"
15555, Not Disclosed by Recruiter ,3 - 6 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Education, Teaching, Training",Orthopaedist," Medical Officer- RMO, Resident Medical Officer, CMO, Duty Doctor, Medical Officer. "
4503, Not Disclosed by Recruiter ,2 - 3 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","IT-Software, Software Services",Pathologist," copyright, mbbs, solutions, md, hr, salary"
3074, Not Disclosed by Recruiter ,7 - 10 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Pediatrician," Consultant, resident, critical care, hospital, medicine, ICU, "
3362, Not Disclosed by Recruiter ,3 - 8 yrs,Production/Technical,"TV , Films , Production , Broadcasting","Retail, Wholesale",Photographer," Printing, Graphics, Post production, Product promotion, level, Shooting, Research, Merchandising, Fitness"
349, Not Disclosed by Recruiter ,4 - 6 yrs,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher," Counselor, Mentor, Trainer, Advisor, Teaching"
1373, Not Disclosed by Recruiter ,0 - 3 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Physiotherapist, Physiotherapy
741, Not Disclosed by Recruiter ,2 - 5 yrs,Creative,"Design , Creative , User Experience","Architecture, Interior Design",Product Designer,"3ds max, 3d designer, photoshop, corel draw"
875, Not Disclosed by Recruiter ,5 - 8 yrs,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Product Manager," Business Intelligence, Software Development, System Architecture, Technical Design, Data Warehousing, ETL, Business System, Product Life Cycle, SQL, Data Mapping"
13994, Not Disclosed by Recruiter ,1 - 5 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Psychiatrist, Communication Skills
1396, Not Disclosed by Recruiter ,2 - 5 yrs,Quality Assurance & Quality Control-Compliance & Regulatory,"Engineering Design , R&D","KPO, Research, Analytics",Quality Assurance & Quality Control-Executive," HPLC, Senior Analyst"
21,"2,50,000 - 4,50,000 PA.",0 - 4 yrs,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager," lead generation, business development, corporate sales"
890, Not Disclosed by Recruiter,1 - 2 Years,Apeejay Education society,"Executive Assistant , Front Office , Data Entry",Education / Teaching / Training,Secretary/PA,"Office Assistance,office co - ordiantor"
10990,"2,75,000 - 3,00,000 PA.",0 - 0 yrs,Telecom,"IT Hardware , Technical Support , Telecom Engineering","BPO, Call Centre, ITeS",Security Engineer," NAT, CCIE, Network Engineer, Routing, ACL, CCNA, Security, SSL, Switching, Firewall, VPN, CCNP, System Engineer"
13,Openings: 1,3 - 7 Years,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,"Oracle IDAM,OIM,OAM"
275, Not Disclosed by Recruiter ,2 - 6 yrs,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Surgeon," Monitoring, Senior Resident, RAM, DNB, Dmc"
25857, Not Disclosed by Recruiter ,2 - 7 yrs,Telecom,"IT Hardware , Technical Support , Telecom Engineering","BPO, Call Centre, ITeS",Switching/Router Engineer," CCNA, CISCO, JUNIPER, Routing, Switching, Cisco Switches, Routing Protocols, Alarm Monitoring, NOC, CISCO TAC, Incident Management"
29, Not Disclosed by Recruiter ,5 - 10 yrs,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator," qmail, workflow, nagios, windows server, networking, mysql, monitoring, redhat, maintaining, centos"
111, Not Disclosed by Recruiter ,3 - 5 yrs,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead, Automation Engineer
3,"2,00,000 - 4,00,000 PA.",0 - 5 yrs,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer, Technical Support
38, Not Disclosed by Recruiter ,15 - 20 yrs,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager," Troubleshooting, DNS, DHCP, Monitoring, Virtualization, Shell scripting, Python, VMS, Open source, Archiving"
815, Not Disclosed by Recruiter ,4 - 9 yrs,Creative,"Design , Creative , User Experience","IT-Software, Software Services",User Experience Designer," mobile apps, UX, UI, GUI, UX Designer"
154, Not Disclosed by Recruiter ,3 - 5 yrs,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer,"photoshop, illustrator, seo, jquery, fireworks, css3, gui, usability, development, static"
106, Not Disclosed by Recruiter ,4 - 8 yrs,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician, NCTVT
